"","N","Accession","PG","Gene_Symbol","Protein_Name"
"31",185,"IPI:IPI00339223.1",7,"FN1","Isoform 3 of Fibronectin"
"32",166,"IPI:IPI00022418.1",7,"FN1","Isoform 1 of Fibronectin"
"33",9,"IPI:IPI00339225.1",7,"FN1","Isoform 5 of Fibronectin"
"34",7,"IPI:IPI00339228.1",7,"FN1","Isoform 8 of Fibronectin"
"35",5,"IPI:IPI00867588.1",7,"FN1","Isoform 13 of Fibronectin"
"36",0,"IPI:IPI00339226.1",7,"FN1","Isoform 6 of Fibronectin"
"37",0,"IPI:IPI00339227.4",7,"FN1","Isoform 7 of Fibronectin"
"38",0,"IPI:IPI00339319.1",7,"FN1","Isoform 11 of Fibronectin"
"39",0,"IPI:IPI00414283.6",7,"FN1","Isoform 9 of Fibronectin"
"40",0,"IPI:IPI00556632.3",7,"FN1","Isoform 12 of Fibronectin"
"41",0,"IPI:IPI00855785.1",7,"FN1","Isoform 15 of Fibronectin"
"42",0,"IPI:IPI00856050.1",7,"-","Fibronectin splice variant F (Fragment)"
"43",0,"IPI:IPI00873210.1",7,"FN1","263 kDa protein"
"44",0,"IPI:IPI00922213.2",7,"FN1","cDNA FLJ53292, highly similar to Homo sapiens fibronectin 1 (FN1), transcript variant 5, mRNA"
"45",24,"IPI:IPI00032291.2",8,"C5","Complement C5"
"46",285,"IPI:IPI00896413.1",9,"ITIH4","inter-alpha (globulin) inhibitor H4 isoform 2 precursor"
"47",268,"IPI:IPI00791097.2",9,"ITIH4","cDNA FLJ53871, highly similar to Inter-alpha-trypsin inhibitor heavy chain H4"
"48",250,"IPI:IPI00896419.3",9,"ITIH4","Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4"
"49",228,"IPI:IPI00218192.3",9,"ITIH4","Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H4"
"50",214,"IPI:IPI00944960.1",9,"ITIH4","ITIH4 protein"
"51",132,"IPI:IPI00922043.2",9,"ITIH4","cDNA FLJ51742, highly similar to Inter-alpha-trypsin inhibitor heavy chain H4"
"52",46,"IPI:IPI00783987.2",10,"C3","Complement C3 (Fragment)"
"53",21,"IPI:IPI00022488.1",11,"HPX","Hemopexin"
"54",27,"IPI:IPI00555812.4",12,"GC","Isoform 1 of Vitamin D-binding protein"
"55",16,"IPI:IPI00939824.1",13,"-","141 kDa protein"
"56",13,"IPI:IPI00019591.2",13,"CFB","cDNA FLJ55673, highly similar to Complement factor B"
"57",227,"IPI:IPI00877703.1",14,"FGG","Putative uncharacterized protein FGG"
"58",26,"IPI:IPI00877792.1",14,"FGG","Putative uncharacterized protein FGG"
"59",17,"IPI:IPI00021891.5",14,"FGG","Isoform Gamma-B of Fibrinogen gamma chain"
"60",0,"IPI:IPI00219713.1",14,"FGG","Isoform Gamma-A of Fibrinogen gamma chain"
"61",38,"IPI:IPI00847635.1",15,"SERPINA3","Isoform 1 of Alpha-1-antichymotrypsin"
"62",24,"IPI:IPI00550991.3",15,"SERPINA3","cDNA FLJ35730 fis, clone TESTI2003131, highly similar to ALPHA-1-ANTICHYMOTRYPSIN"
"63",29,"IPI:IPI00645038.1",16,"ITIH2","Inter-alpha (Globulin) inhibitor H2"
"64",27,"IPI:IPI00305461.3",16,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2"
"65",43,"IPI:IPI00022895.7",17,"A1BG","Alpha-1B-glycoprotein"
"66",41,"IPI:IPI00026314.1",18,"GSN","Isoform 1 of Gelsolin"
"67",39,"IPI:IPI00796316.4",18,"GSN","cDNA FLJ53327, highly similar to Gelsolin"
"68",37,"IPI:IPI00647556.2",18,"GSN","gelsolin isoform c"
"69",0,"IPI:IPI00646773.2",18,"GSN","Isoform 2 of Gelsolin"
"70",54,"IPI:IPI00029739.5",19,"CFH","Isoform 1 of Complement factor H"
"71",71,"IPI:IPI00296608.6",20,"C7","Complement component C7"
"72",411,"IPI:IPI00385264.1",21,"-","Ig mu heavy chain disease protein"
"73",296,"IPI:IPI00952640.1",21,"IGHM","Isoform 1 of Ig mu chain C region"
"74",268,"IPI:IPI00896380.1",21,"IGHM","Isoform 2 of Ig mu chain C region"
"75",208,"IPI:IPI00941355.1",21,"-","Putative uncharacterized protein IGHV3-6 (Fragment)"
"76",204,"IPI:IPI00941961.1",21,"-","66 kDa protein"
"77",194,"IPI:IPI00892870.1",21,"IGHM","Putative uncharacterized protein IGHM"
"78",190,"IPI:IPI00946337.1",21,"IGHM","Putative uncharacterized protein IGHM"
"79",30,"IPI:IPI00940716.1",21,"-","Putative uncharacterized protein IGHV3-6 (Fragment)"
"80",0,"IPI:IPI00479708.6",21,"IGHM","Full-length cDNA clone CS0DD006YL02 of Neuroblastoma of Homo sapiens"
"81",0,"IPI:IPI00939620.1",21,"-","Putative uncharacterized protein IGHV3-6 (Fragment)"
"82",0,"IPI:IPI00940918.1",21,"-","Putative uncharacterized protein IGHV3-6 (Fragment)"
"83",106,"IPI:IPI00019580.1",22,"PLG","Plasminogen"
"84",286,"IPI:IPI00304273.2",23,"APOA4","Apolipoprotein A-IV"
"85",277,"IPI:IPI00847179.1",23,"APOA4","apolipoprotein A-IV precursor"
"86",42,"IPI:IPI00292530.1",24,"ITIH1","Inter-alpha-trypsin inhibitor heavy chain H1"
"87",579,"IPI:IPI00465188.6",25,"C6orf170","Isoform 4 of Uncharacterized protein C6orf170"
"88",553,"IPI:IPI00829740.1",25,"-","V2-6 protein"
"89",547,"IPI:IPI00915820.1",25,"-","Anti-folate binding protein (Fragment)"
"90",546,"IPI:IPI00873155.2",25,"LOC100287372;LOC100290738","hypothetical protein XP_002343513"
"91",526,"IPI:IPI00025094.3",25,"MYH16","cDNA: FLJ22037 fis, clone HEP08868 (Fragment)"
"92",523,"IPI:IPI00903213.1",25,"IGF2R","274 kDa protein"
"93",516,"IPI:IPI00921238.1",25,"-","Immunoglobulin V-set domain containing protein"
"94",510,"IPI:IPI00844000.1",25,"KIAA0776","UPF0555 protein KIAA0776"
"95",497,"IPI:IPI00387116.1",25,"-","Ig kappa chain V-III region NG9 (Fragment)"
"96",495,"IPI:IPI00854644.2",25,"LOC100291682;LOC100290992","similar to hCG1686089"
"97",494,"IPI:IPI00784758.1",25,"IGHA2;LOC100126583","Putative uncharacterized protein DKFZp686M08189"
"98",459,"IPI:IPI00384400.1",25,"-","Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"99",456,"IPI:IPI00382489.1",25,"-","Ig heavy chain V-III region KOL"
"100",439,"RRRRRIPI:IPI00651681.1",25,"RHOT1","ras homolog gene family, member T1 isoform 2"
"101",438,"IPI:IPI00384399.1",25,"-","Myosin-reactive immunoglobulin light chain variable region (Fragment)"
"102",429,"IPI:IPI00828105.1",25,"-","Anti-Mpl scFv (Fragment)"
"103",423,"RRRRRIPI:IPI00304235.1",25,"NF1","Isoform 1 of Neurofibromin"
"104",419,"RRRRRIPI:IPI00917728.2",25,"NEB","nebulin isoform 2"
"105",413,"IPI:IPI00382488.1",25,"-","Ig heavy chain V-III region HIL"
"106",412,"IPI:IPI00383953.1",25,"-","VH4 heavy chain variable region (Fragment)"
"107",412,"IPI:IPI00387119.1",25,"-","Ig kappa chain V-III region POM"
"108",412,"IPI:IPI00827891.2",25,"-","Immunoglobulin V-set domain containing protein"
"109",410,"IPI:IPI00942117.1",25,"CRISP3","Cysteine-rich secretory protein 3"
"110",408,"RRRRRIPI:IPI00908457.1",25,"ZSWIM3","cDNA FLJ50306, highly similar to Zinc finger SWIM domain-containing protein 3"
"111",403,"IPI:IPI00552267.3",25,"IGLV3-19","This CDS feature is included to show the translation of the corresponding V_region. Presently translation qualifiers on V_region features are illegal"
"112",402,"IPI:IPI00816555.3",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","similar to Ig lambda chain"
"113",394,"RRRRRIPI:IPI00479143.2",25,"PCNT","Pericentrin"
"114",391,"IPI:IPI00385254.1",25,"-","Ig lambda chain V-I region WAH"
"115",389,"IPI:IPI00760919.1",25,"RPRD2","Isoform 2 of Regulation of nuclear pre-mRNA domain-containing protein 2"
"116",382,"IPI:IPI00011218.1",25,"CSF1R","Macrophage colony-stimulating factor 1 receptor"
"117",381,"RRRRRIPI:IPI00299512.4",25,"NF1","Isoform 2 of Neurofibromin"
"118",379,"IPI:IPI00387115.1",25,"-","Ig kappa chain V-III region SIE"
"119",376,"RRRRRIPI:IPI00292056.4",25,"PIK3C2B","Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide"
"120",375,"IPI:IPI00426060.3",25,"IGHA1","Putative uncharacterized protein DKFZp686J11235 (Fragment)"
"121",375,"IPI:IPI00888695.1",25,"IGHV1-69","similar to hCG1773549"
"122",375,"IPI:IPI00941659.1",25,"ZFHX4","Isoform 1 of Zinc finger homeobox protein 4"
"123",374,"IPI:IPI00409710.1",25,"SLIT3","Isoform 3 of Slit homolog 3 protein"
"124",374,"RRRRRIPI:IPI00829852.1",25,"ANKRD36","ANKRD36 protein (Fragment)"
"125",371,"IPI:IPI00827691.1",25,"-","Immunogobulin kappa, VJ region (Fragment)"
"126",370,"IPI:IPI00007899.4",25,"-","Single chain Fv (Fragment)"
"127",370,"IPI:IPI00827944.1",25,"-","Heavy chain Fab (Fragment)"
"128",365,"IPI:IPI00385985.1",25,"-","Ig lambda chain V-III region LOI"
"129",364,"IPI:IPI00423463.1",25,"IGHV4-31;LOC100294459;LOC100290146;IGHG1","Putative uncharacterized protein DKFZp686O01196"
"130",363,"IPI:IPI00387096.1",25,"-","Ig kappa chain V-I region Kue"
"131",361,"IPI:IPI00816409.1",25,"-","V<gamma>1 protein (Fragment)"
"132",360,"IPI:IPI00382481.1",25,"-","Ig heavy chain V-III region BUT"
"133",360,"IPI:IPI00384407.1",25,"-","Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"134",358,"IPI:IPI00386839.1",25,"-","Amyloid lambda 6 light chain variable region SAR (Fragment)"
"135",357,"IPI:IPI00887169.2",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","Putative uncharacterized protein"
"136",356,"RRRRRIPI:IPI00220628.1",25,"AKAP9","Isoform 6 of A-kinase anchor protein 9"
"137",355,"IPI:IPI00940245.1",25,"IGHA2;LOC100126583","Immunoglobulin heavy chain variant (Fragment)"
"138",355,"RRRRRIPI:IPI00946464.1",25,"LOC100124692","Putative uncharacterized protein ENSP00000420449"
"139",354,"IPI:IPI00829834.2",25,"-","Ig kappa chain V-III region VH (Fragment)"
"140",354,"IPI:IPI00884092.1",25,"-","Anti-HER3 scFv (Fragment)"
"141",354,"IPI:IPI00889156.1",25,"IGKV3-20","IGK@ protein"
"142",352,"IPI:IPI00647704.1",25,"IGHA1","cDNA FLJ41552 fis, clone COLON2004478, highly similar to Protein Tro alpha1 H,myeloma"
"143",352,"IPI:IPI00784842.1",25,"IGHV4-31;LOC100294459;LOC100290146;IGHG1","Putative uncharacterized protein DKFZp686G11190"
"144",350,"IPI:IPI00477714.5",25,"IGLV8-61","V3-4 protein"
"145",349,"IPI:IPI00101969.9",25,"ARHGAP23","Isoform 1 of Rho GTPase-activating protein 23"
"146",347,"IPI:IPI00384401.1",25,"-","Myosin-reactive immunoglobulin kappa chain variable region (Fragment)"
"147",347,"IPI:IPI00645363.2",25,"IGHV4-31;LOC100294459;LOC100290146;IGHG1","Putative uncharacterized protein DKFZp686P15220"
"148",346,"IPI:IPI00386879.1",25,"IGHA1","cDNA FLJ14473 fis, clone MAMMA1001080, highly similar to Homo sapiens SNC73 protein (SNC73) mRNA"
"149",346,"IPI:IPI00783094.1",25,"-","Immunglobulin heavy chain variable region (Fragment)"
"150",345,"IPI:IPI00382540.1",25,"-","Ig heavy chain V-II region NEWM"
"151",344,"IPI:IPI00946532.1",25,"-","Putative uncharacterized protein ENSP00000417427"
"152",343,"IPI:IPI00743194.2",25,"-","Kappa light chain variable region (Fragment)"
"153",342,"IPI:IPI00382500.1",25,"-","Ig heavy chain V-III region GAL"
"154",341,"IPI:IPI00829979.2",25,"LOC100290528;LOC100292611","similar to pre-B lymphocyte gene 2"
"155",339,"IPI:IPI00942113.1",25,"-","56 kDa protein"
"156",339,"IPI:IPI00952561.1",25,"-","HRV Fab 025-VL (Fragment)"
"157",336,"IPI:IPI00937482.1",25,"LOC100292858","similar to hCG2029977"
"158",335,"IPI:IPI00854743.1",25,"-","Putative uncharacterized protein ENSP00000375034"
"159",334,"IPI:IPI00387099.1",25,"-","Ig kappa chain V-I region Rei"
"160",334,"IPI:IPI00829845.1",25,"-","Putative uncharacterized protein ENSP00000375026"
"161",333,"RRRRRIPI:IPI00220627.1",25,"AKAP9","Isoform 5 of A-kinase anchor protein 9"
"162",331,"IPI:IPI00829877.1",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","IGL@ protein"
"163",330,"IPI:IPI00383164.1",25,"IGHA1","SNC66 protein"
"164",330,"IPI:IPI00788824.3",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","hypothetical protein XP_002348153"
"165",330,"IPI:IPI00827906.1",25,"-","Anti-mucin1 light chain variable region (Fragment)"
"166",325,"IPI:IPI00382447.1",25,"-","Ig lambda chain V-VI region AR"
"167",324,"IPI:IPI00009792.1",25,"IGHV1OR15-1","Ig heavy chain V-I region V35"
"168",323,"IPI:IPI00830088.1",25,"-","13 kDa protein"
"169",322,"IPI:IPI00903341.1",25,"-","cDNA FLJ39449 fis, clone PROST2008360, highly similar to Homo sapiens pyruvate dehydrogenase phosphatase regulatory subunit (PDPR), mRNA"
"170",321,"IPI:IPI00894384.1",25,"IGHA2;LOC100126583","Putative uncharacterized protein DKFZp686O16217 (Fragment)"
"171",320,"IPI:IPI00760721.3",25,"-","13 kDa protein"
"172",320,"IPI:IPI00940246.1",25,"-","Putative uncharacterized protein ENSP00000401087 (Fragment)"
"173",317,"IPI:IPI00941650.1",25,"IGKC","26 kDa protein"
"174",317,"RRRRRIPI:IPI00940256.1",25,"TBX2","T-box transcription factor TBX2"
"175",316,"IPI:IPI00785084.2",25,"IGHV4-31;LOC100294459;LOC100290146;IGHG1","IGH@ protein"
"176",314,"IPI:IPI00936846.1",25,"LOC100293142","similar to hCG2040019"
"177",313,"RRRRRIPI:IPI00936879.2",25,"MYO5A","Isoform 2 of Myosin-Va"
"178",310,"IPI:IPI00104396.9",25,"RGSL1","Isoform 1 of Regulator of G-protein signaling protein-like"
"179",310,"IPI:IPI00827637.1",25,"-","K light chain variable region (Fragment)"
"180",309,"IPI:IPI00748998.1",25,"SCFV","Single-chain Fv (Fragment)"
"181",307,"IPI:IPI00827510.1",25,"-","HRV Fab 026-VL (Fragment)"
"182",306,"IPI:IPI00829653.2",25,"-","Putative uncharacterized protein ENSP00000374812"
"183",306,"IPI:IPI00924820.1",25,"-","Putative uncharacterized protein ENSP00000419300"
"184",305,"IPI:IPI00219699.3",25,"SIGLEC1","Isoform 3 of Sialoadhesin"
"185",305,"IPI:IPI00382486.1",25,"-","Ig heavy chain V-III region NIE"
"186",304,"IPI:IPI00383808.1",25,"-","Ig kappa chain V-IV region STH (Fragment)"
"187",304,"IPI:IPI00450309.1",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","IGL@ protein"
"188",303,"IPI:IPI00003111.7",25,"LOC652694","Ig kappa chain V-I region AU"
"189",303,"IPI:IPI00827892.1",25,"-","VH87-2 protein (Fragment)"
"190",302,"IPI:IPI00829590.1",25,"-","13 kDa protein"
"191",301,"IPI:IPI00873898.1",25,"OSBPL8","Oxysterol-binding protein"
"192",300,"IPI:IPI00168728.1",25,"IGHG3","FLJ00385 protein (Fragment)"
"193",300,"IPI:IPI00382682.1",25,"IGH@","Putative matrix cell adhesion molecule-3"
"194",300,"IPI:IPI00384393.1",25,"-","Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"195",300,"IPI:IPI00947380.1",25,"IGKC","V(k)3 sequence of NG9 gene from fetal liver DNA (Fragment)"
"196",300,"RRRRRIPI:IPI00893786.2",25,"ANKRD36;ANKRD36B","ankyrin repeat domain 36"
"197",299,"IPI:IPI00553215.3",25,"IGLV2-18","V1-5 protein"
"198",298,"IPI:IPI00384404.4",25,"-","Rheumatoid factor RF-ET9 (Fragment)"
"199",298,"IPI:IPI00418153.1",25,"IGHG3","Putative uncharacterized protein DKFZp686I15212"
"200",297,"IPI:IPI00423464.1",25,"IGHV4-31;LOC100294459;LOC100290146;IGHG1","Putative uncharacterized protein DKFZp686K03196"
"201",297,"RRRRRIPI:IPI00009329.2",25,"UTRN","Utrophin"
"202",296,"IPI:IPI00829752.1",25,"-","Myosin-reactive immunoglobulin heavy chain variable region"
"203",295,"IPI:IPI00936151.1",25,"LOC100130100","similar to hCG26659"
"204",294,"IPI:IPI00657648.1",25,"EPDR1","ependymin related protein 1 precursor"
"205",294,"IPI:IPI00827482.3",25,"-","Immunoglobulin V-set domain containing protein"
"206",294,"IPI:IPI00829873.2",25,"-","Putative uncharacterized protein ENSP00000420361"
"207",294,"IPI:IPI00888699.1",25,"LOC650405","similar to hCG2042707"
"208",293,"IPI:IPI00003470.1",25,"-","Ig kappa chain V-I region Wes"
"209",293,"IPI:IPI00829841.1",25,"-","13 kDa protein"
"210",292,"IPI:IPI00854611.2",25,"IGKV1D-8","Myosin-reactive immunoglobulin light chain variable region"
"211",290,"IPI:IPI00423462.5",25,"IGHA1","Putative uncharacterized protein DKFZp686K18196 (Fragment)"
"212",290,"IPI:IPI00930442.1",25,"IGHG4","Putative uncharacterized protein DKFZp686M24218"
"213",289,"IPI:IPI00384938.1",25,"IGHV4-31;LOC100294459;LOC100290146;IGHG1","Putative uncharacterized protein DKFZp686N02209"
"214",286,"IPI:IPI00384402.1",25,"-","Myosin-reactive immunoglobulin kappa chain variable region (Fragment)"
"215",286,"IPI:IPI00784865.1",25,"IGK@","IGK@ protein"
"216",285,"IPI:IPI00387027.1",25,"-","Ig kappa chain V-I region Gal"
"217",284,"IPI:IPI00556287.1",25,"-","Putative uncharacterized protein"
"218",284,"IPI:IPI00827485.1",25,"-","BRE (Fragment)"
"219",283,"IPI:IPI00784830.1",25,"IGHA2;LOC100126583","cDNA FLJ41981 fis, clone SMINT2011888, highly similar to Protein Tro alpha1 H,myeloma"
"220",283,"IPI:IPI00829640.1",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","IGL@ protein"
"221",281,"IPI:IPI00853045.1",25,"IGKC","Anti-RhD monoclonal T125 kappa light chain"
"222",280,"IPI:IPI00418277.3",25,"CHSY3","Chondroitin sulfate synthase 3"
"223",280,"RRRRRIPI:IPI00791572.1",25,"IL17F","Interleukin-17F"
"224",278,"IPI:IPI00939805.1",25,"IGKC","26 kDa protein"
"225",275,"IPI:IPI00387107.3",25,"IGKV2-40","Ig kappa chain V-II region Cum"
"226",274,"IPI:IPI00743517.1",25,"PTPRS","protein tyrosine phosphatase, receptor type, sigma isoform 2 precursor"
"227",273,"IPI:IPI00783287.1",25,"-","Immunglobulin heavy chain variable region (Fragment)"
"228",273,"IPI:IPI00827560.1",25,"-","HRV Fab N27-VL (Fragment)"
"229",273,"RRRRRIPI:IPI00927809.1",25,"DHX30","Putative uncharacterized protein DHX30"
"230",272,"IPI:IPI00382456.1",25,"-","Ig heavy chain V-I region ND (Fragment)"
"231",271,"IPI:IPI00387113.1",25,"-","Ig kappa chain V-III region B6"
"232",270,"IPI:IPI00385059.1",25,"-","Rearranged VH4-34 V gene segment (Fragment)"
"233",269,"RRRRRIPI:IPI00011174.2",25,"KAL1","Anosmin-1"
"234",267,"IPI:IPI00830007.1",25,"-","13 kDa protein"
"235",267,"IPI:IPI00876888.1",25,"IGHV4-31;LOC100294459;LOC100290146;IGHG1","cDNA FLJ78387"
"236",266,"IPI:IPI00003939.3",25,"-","Ig lambda chain V-I region NIG-64"
"237",266,"IPI:IPI00387026.1",25,"-","Ig kappa chain V-I region EU"
"238",266,"IPI:IPI00827646.1",25,"-","Rheumatoid factor RF-IP16 (Fragment)"
"239",266,"IPI:IPI00828153.1",25,"-","VH-3 family (VH26)D/J protein (Fragment)"
"240",266,"IPI:IPI00916434.1",25,"-","Anti-(ED-B) scFV (Fragment)"
"241",263,"IPI:IPI00386142.1",25,"-","Ig heavy chain V-II region ARH-77"
"242",263,"IPI:IPI00828061.1",25,"-","Anti-mucin1 heavy chain variable region (Fragment)"
"243",262,"IPI:IPI00387022.2",25,"LOC100128009","hypothetical protein"
"244",262,"IPI:IPI00815938.3",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","similar to hCG2040021"
"245",262,"IPI:IPI00829600.2",25,"-","Putative uncharacterized protein ENSP00000374803"
"246",261,"IPI:IPI00941582.1",25,"-","Putative uncharacterized protein ENSP00000402763 (Fragment)"
"247",259,"IPI:IPI00827627.1",25,"-","Vh1-D-J3-region (Fragment)"
"248",258,"IPI:IPI00398220.1",25,"-","Myosin-reactive immunoglobulin light chain variable region (Fragment)"
"249",258,"IPI:IPI00807428.1",25,"-","Putative uncharacterized protein"
"250",258,"IPI:IPI00830130.1",25,"-","Rheumatoid factor RF-ET7"
"251",257,"IPI:IPI00470652.1",25,"-","Single-chain Fv (Fragment)"
"252",257,"IPI:IPI00827826.1",25,"-","Cold agglutinin FS-2 L-chain (Fragment)"
"253",256,"IPI:IPI00387120.1",25,"-","Ig kappa chain V-IV region Len"
"254",255,"IPI:IPI00942387.1",25,"IGKC","26 kDa protein"
"255",255,"RRRRRIPI:IPI00186004.8",25,"ANKRD36B","ankyrin repeat domain 36B"
"256",254,"IPI:IPI00387097.1",25,"-","Ig kappa chain V-I region Lay"
"257",253,"IPI:IPI00745363.4",25,"LOC652113","Immunglobulin heavy chain variable region (Fragment)"
"258",252,"IPI:IPI00890703.1",25,"-","Cryocrystalglobulin CC1 kappa light chain variable region (Fragment)"
"259",251,"IPI:IPI00786926.1",25,"IGHV1-69","Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"260",250,"IPI:IPI00382476.1",25,"-","Ig heavy chain V-III region WEA"
"261",249,"IPI:IPI00382422.1",25,"-","Ig lambda chain V-I region NEWM"
"262",248,"IPI:IPI00332273.2",25,"PTPRS","Isoform PTPS-MEC of Receptor-type tyrosine-protein phosphatase S"
"263",247,"IPI:IPI00893210.1",25,"LOC652128","Full-length cDNA clone CS0DL004YM19 of B cells (Ramos cell line) of Homo sapiens"
"264",246,"IPI:IPI00387117.5",25,"IGKV3D-20","Ig kappa chain V-III region Ti"
"265",246,"IPI:IPI00784935.1",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","IGL@ protein"
"266",246,"IPI:IPI00890754.1",25,"-","Cryocrystalglobulin CC1 heavy chain variable region (Fragment)"
"267",246,"RRRRRIPI:IPI00759537.1",25,"RHOT2","Isoform 2 of Mitochondrial Rho GTPase 2"
"268",242,"IPI:IPI00382436.1",25,"-","Ig lambda chain V-III region SH"
"269",242,"IPI:IPI00940494.2",25,"-","Putative uncharacterized protein ENSP00000390033"
"270",241,"IPI:IPI00940069.1",25,"IGKC","Ig kappa chain C region"
"271",240,"IPI:IPI00944677.1",25,"IGLC1;IGL@;IGLV3-21;IGLC2;LOC100290557;IGLV2-14;IGLV1-44;LOC100290481;IGLV2-11;IGLV1-40;LOC100293277;LOC100293440;IGLC3","IGL@ protein"
"272",236,"IPI:IPI00383887.1",25,"-","Immunoblobulin heavy chain (Fragment)"
"273",236,"IPI:IPI00387100.1",25,"-","Ig kappa chain V-I region Roy"
"274",236,"IPI:IPI00939826.1",25,"-","57 kDa protein"
"275",235,"IPI:IPI00030205.3",25,"IGKV3-20","Ig kappa chain V-III region HAH"
"276",234,"IPI:IPI00386524.3",25,"IGHA1","CDNA FLJ25298 fis, clone STM07683, highly similar to Protein Tro alpha1 H,myeloma"
"277",234,"IPI:IPI00830047.1",25,"-","Putative uncharacterized protein ENSP00000374858 (Fragment)"
"278",234,"IPI:IPI00939521.1",25,"-","Putative uncharacterized protein ENSP00000346720 (Fragment)"
"279",231,"IPI:IPI00550731.2",25,"IGKC","Putative uncharacterized protein"
"280",231,"IPI:IPI00827815.1",25,"-","Light chain Fab (Fragment)"
"281",231,"IPI:IPI00827875.1",25,"-","Lambda-chain"
